3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,3/17/2005,#N/A N/A,105.94,#N/A N/A,136.3018,,,,,,,,
,,,3/18/2005,#N/A N/A,105.82,#N/A N/A,136.394,,,,,,,,
,,,3/21/2005,#N/A N/A,105.33,#N/A N/A,135.962,,,,,,,,
,,,3/22/2005,#N/A N/A,104.52,#N/A N/A,135.5451,,,,,,,,
,,,3/23/2005,#N/A N/A,104.24,#N/A N/A,134.6617,,,,,,,,
,,,3/24/2005,#N/A N/A,104.32,#N/A N/A,134.9119,,,,,,,,
,,,3/25/2005,#N/A N/A,104.32,#N/A N/A,134.9119,,,,,,,,
,,,3/28/2005,#N/A N/A,104.38,#N/A N/A,134.8555,,,,,,,,
,,,3/29/2005,#N/A N/A,103.46,#N/A N/A,134.8147,,,,,,,,
,,,3/30/2005,#N/A N/A,104.38,#N/A N/A,135.523,,,,,,,,
,,,3/31/2005,#N/A N/A,104.25,#N/A N/A,135.9511,,,,,,,,
,,,4/1/2005,#N/A N/A,103.92,#N/A N/A,135.8172,,,,,,,,
,,,4/4/2005,#N/A N/A,104,#N/A N/A,135.8228,,,,,,,,
,,,4/5/2005,#N/A N/A,104.25,#N/A N/A,135.8571,,,,,,,,
,,,4/6/2005,#N/A N/A,104.55,#N/A N/A,136.1644,,,,,,,,
,,,4/7/2005,#N/A N/A,104.92,#N/A N/A,135.917,,,,,,,,
,,,4/8/2005,#N/A N/A,104.4,#N/A N/A,135.6255,,,,,,,,
,,,4/11/2005,#N/A N/A,104.45,#N/A N/A,136.003,,,,,,,,
,,,4/12/2005,#N/A N/A,104.93,#N/A N/A,135.6563,,,,,,,,
,,,4/13/2005,#N/A N/A,104.21,#N/A N/A,135.1939,,,,,,,,
,,,4/14/2005,#N/A N/A,103.22,#N/A N/A,134.9659,,,,,,,,
,,,4/15/2005,#N/A N/A,102.34,#N/A N/A,135.2772,,,,,,,,
,,,4/18/2005,#N/A N/A,102.55,#N/A N/A,135.2879,,,,,,,,
,,,4/19/2005,#N/A N/A,103.18,#N/A N/A,136.2845,,,,,,,,
,,,4/20/2005,#N/A N/A,102.64,#N/A N/A,136.6893,,,,,,,,
,,,4/21/2005,#N/A N/A,103.5,#N/A N/A,136.1215,,,,,,,,
,,,4/22/2005,#N/A N/A,103.23,#N/A N/A,136.567,,,,,,,,
,,,4/25/2005,#N/A N/A,103.82,#N/A N/A,136.4646,,,,,,,,
,,,4/26/2005,#N/A N/A,103.53,#N/A N/A,136.3323,,,,,,,,
,,,4/27/2005,#N/A N/A,103.71,#N/A N/A,135.6969,,,,,,,,
,,,4/28/2005,#N/A N/A,103.19,#N/A N/A,135.7924,,,,,,,,
,,,4/29/2005,#N/A N/A,103.85,#N/A N/A,135.5387,,,,,,,,
,,,5/2/2005,#N/A N/A,103.95,#N/A N/A,135.6238,,,,,,,,
,,,5/3/2005,#N/A N/A,104.18,#N/A N/A,135.1597,,,,,,,,
,,,5/4/2005,#N/A N/A,104.78,#N/A N/A,135.2799,,,,,,,,
,,,5/5/2005,#N/A N/A,105.02,#N/A N/A,135.6053,,,,,,,,
,,,5/6/2005,#N/A N/A,104.82,#N/A N/A,135.0612,,,,,,,,
,,,5/9/2005,#N/A N/A,105.26,#N/A N/A,135.3375,,,,,,,,
,,,5/10/2005,#N/A N/A,104.71,#N/A N/A,135.747,,,,,,,,
,,,5/11/2005,#N/A N/A,104.92,#N/A N/A,135.8433,,,,,,,,
,,,5/12/2005,#N/A N/A,104.38,#N/A N/A,135.3234,,,,,,,,
,,,5/13/2005,#N/A N/A,104.21,#N/A N/A,135.481,,,,,,,,
,,,5/16/2005,#N/A N/A,104.62,#N/A N/A,135.6387,,,,,,,,
,,,5/17/2005,#N/A N/A,104.89,#N/A N/A,135.8529,,,,,,,,
,,,5/18/2005,#N/A N/A,105.52,#N/A N/A,136.7044,,,,,,,,
,,,5/19/2005,#N/A N/A,105.97,#N/A N/A,136.607,,,,,,,,
,,,5/20/2005,#N/A N/A,105.99,#N/A N/A,136.4911,,,,,,,,
,,,5/23/2005,#N/A N/A,106.28,#N/A N/A,137.1738,,,,,,,,
,,,5/24/2005,#N/A N/A,106.2,#N/A N/A,137.6633,,,,,,,,
,,,5/25/2005,#N/A N/A,106.19,#N/A N/A,137.4564,,,,,,,,
,,,5/26/2005,#N/A N/A,106.4,#N/A N/A,137.5606,,,,,,,,
,,,5/27/2005,#N/A N/A,106.67,#N/A N/A,137.7467,,,,,,,,
,,,5/30/2005,#N/A N/A,106.67,#N/A N/A,137.7467,,,,,,,,
,,,5/31/2005,#N/A N/A,106.52,#N/A N/A,138.1849,,,,,,,,
,,,6/1/2005,#N/A N/A,107.29,#N/A N/A,139.41,,,,,,,,
,,,6/2/2005,#N/A N/A,107.52,#N/A N/A,139.7115,,,,,,,,
,,,6/3/2005,#N/A N/A,107.16,#N/A N/A,139.2021,,,,,,,,
,,,6/6/2005,#N/A N/A,107.35,#N/A N/A,139.435,,,,,,,,
,,,6/7/2005,#N/A N/A,107.29,#N/A N/A,139.6715,,,,,,,,
,,,6/8/2005,#N/A N/A,107.31,#N/A N/A,139.4804,,,,,,,,
,,,6/9/2005,#N/A N/A,107.72,#N/A N/A,139.6276,,,,,,,,
,,,6/10/2005,#N/A N/A,107.53,#N/A N/A,139.2589,,,,,,,,
,,,6/13/2005,#N/A N/A,107.56,#N/A N/A,139.3247,,,,,,,,
,,,6/14/2005,#N/A N/A,107.68,#N/A N/A,138.9806,,,,,,,,
,,,6/15/2005,#N/A N/A,107.71,#N/A N/A,138.9022,,,,,,,,
,,,6/16/2005,#N/A N/A,108.14,#N/A N/A,139.4318,,,,,,,,
,,,6/17/2005,#N/A N/A,108.69,#N/A N/A,139.8169,,,,,,,,
,,,6/20/2005,#N/A N/A,108.41,#N/A N/A,139.8355,,,,,,,,
,,,6/21/2005,#N/A N/A,108.29,#N/A N/A,139.9693,,,,,,,,
,,,6/22/2005,#N/A N/A,108.83,#N/A N/A,140.4303,,,,,,,,
,,,6/23/2005,#N/A N/A,108.37,#N/A N/A,140.4441,,,,,,,,
,,,6/24/2005,#N/A N/A,108.12,#N/A N/A,140.6624,,,,,,,,
,,,6/27/2005,#N/A N/A,108.5,#N/A N/A,140.7641,,,,,,,,
,,,6/28/2005,#N/A N/A,108.68,1000,139.788,,,,,,,,
,,,6/29/2005,#N/A N/A,108.59,999.66,139.6754,,,,,,,,
,,,6/30/2005,#N/A N/A,108.45,1001.2,139.5826,,,,,,,,
,,,7/1/2005,#N/A N/A,108.59,997.35,139.139,,,,,,,,
,,,7/4/2005,#N/A N/A,108.59,997.35,139.139,,,,,,,,
,,,7/5/2005,#N/A N/A,108.52,995.94,138.8647,,,,,,,,
,,,7/6/2005,#N/A N/A,108.25,995.72,139.4841,,,,,,,,
,,,7/7/2005,#N/A N/A,108.69,997.64,139.5414,,,,,,,,
,,,7/8/2005,#N/A N/A,109.31,1001.69,139.5672,,,,,,,,
,,,7/11/2005,#N/A N/A,109.74,1004.08,139.4555,,,,,,,,
,,,7/12/2005,#N/A N/A,109.99,1003.01,139.6228,,,,,,,,
,,,7/13/2005,#N/A N/A,109.68,1001.91,139.3242,,,,,,,,
,,,7/14/2005,#N/A N/A,109.3,999.63,138.8642,,,,,,,,
,,,7/15/2005,#N/A N/A,109.28,1000.25,138.9464,,,,,,,,
,,,7/18/2005,#N/A N/A,109.08,997.29,138.6038,,,,,,,,
,,,7/19/2005,#N/A N/A,109.88,1001.02,138.7927,,,,,,,,
,,,7/20/2005,#N/A N/A,110.38,1005.02,138.919,,,,,,,,
,,,7/21/2005,#N/A N/A,109.89,999.8,138.2771,,,,,,,,
,,,7/22/2005,#N/A N/A,110.72,1004.29,139.0595,,,,,,,,
,,,7/25/2005,#N/A N/A,110.45,1002.33,139.0104,,,,,,,,
,,,7/26/2005,#N/A N/A,110.65,1002.5,138.8964,,,,,,,,
,,,7/27/2005,#N/A N/A,111.24,1004.56,139.0671,,,,,,,,
,,,7/28/2005,#N/A N/A,112.07,1009.67,139.7289,,,,,,,,
,,,7/29/2005,#N/A N/A,111.44,1005.39,139.5369,,,,,,,,
,,,8/1/2005,#N/A N/A,111.92,1005.36,139.5736,,,,,,,,
,,,8/2/2005,#N/A N/A,113,1008.24,139.5388,,,,,,,,
,,,8/3/2005,#N/A N/A,113.17,1011.61,139.8154,,,,,,,,
,,,8/4/2005,#N/A N/A,112.59,1007.89,139.2759,,,,,,,,
,,,8/5/2005,#N/A N/A,111.8,1002.08,138.7806,,,,,,,,
,,,8/8/2005,#N/A N/A,111.91,1000.15,138.7331,,,,,,,,
,,,8/9/2005,#N/A N/A,112.4,1005.12,139.0888,,,,,,,,
,,,8/10/2005,#N/A N/A,112.81,1008.49,139.7165,,,,,,,,
,,,8/11/2005,#N/A N/A,113.13,1015.57,140.1899,,,,,,,,
,,,8/12/2005,#N/A N/A,113.2,1015.75,140.1615,,,,,,,,
,,,8/15/2005,#N/A N/A,113.47,1017.1,140.3312,,,,,,,,
,,,8/16/2005,#N/A N/A,112.78,1013.48,139.9814,,,,,,,,
,,,8/17/2005,#N/A N/A,112.65,1012.35,139.566,,,,,,,,
,,,8/18/2005,#N/A N/A,112.29,1011.37,139.5204,,,,,,,,
,,,8/19/2005,#N/A N/A,112.45,1011.91,139.9079,,,,,,,,
,,,8/22/2005,#N/A N/A,112.71,1014.48,140.1503,,,,,,,,
,,,8/23/2005,#N/A N/A,112.57,1013.9,139.9739,,,,,,,,
,,,8/24/2005,#N/A N/A,112.3,1009.64,139.8004,,,,,,,,
,,,8/25/2005,#N/A N/A,112.54,1012.1,139.6757,,,,,,,,
,,,8/26/2005,#N/A N/A,112.27,1009.37,139.2609,,,,,,,,
,,,8/29/2005,#N/A N/A,112.79,1011.48,139.9276,,,,,,,,
,,,8/30/2005,#N/A N/A,112.83,1009.58,140.0861,,,,,,,,
,,,8/31/2005,#N/A N/A,114.34,1019.39,140.5987,,,,,,,,
,,,9/1/2005,#N/A N/A,115.26,1022.22,141.1187,,,,,,,,
,,,9/2/2005,#N/A N/A,115.02,1022.12,141.0291,,,,,,,,
,,,9/5/2005,#N/A N/A,115.02,1022.12,141.0291,,,,,,,,
,,,9/6/2005,#N/A N/A,115.84,1026.9,141.4837,,,,,,,,
,,,9/7/2005,#N/A N/A,115.81,1025.41,141.2195,,,,,,,,
,,,9/8/2005,#N/A N/A,115.57,1023.28,141.1888,,,,,,,,
,,,9/9/2005,#N/A N/A,116.7,1028.63,141.3136,,,,,,,,
,,,9/12/2005,#N/A N/A,116.26,1025.72,141.2165,,,,,,,,
,,,9/13/2005,#N/A N/A,115.67,1023.28,141.0709,,,,,,,,
,,,9/14/2005,#N/A N/A,115.48,1021.74,141.141,,,,,,,,
,,,9/15/2005,#N/A N/A,115.62,1020.9,141.0849,,,,,,,,
,,,9/16/2005,#N/A N/A,116.34,1024.3,141.099,,,,,,,,
,,,9/19/2005,#N/A N/A,116.21,1022.38,142.3907,,,,,,,,
,,,9/20/2005,#N/A N/A,115.83,1019.26,142.0792,,,,,,,,
,,,9/21/2005,#N/A N/A,115.58,1018.36,142.1401,,,,,,,,
,,,9/22/2005,#N/A N/A,115.66,1019.39,142.1873,,,,,,,,
,,,9/23/2005,#N/A N/A,115.54,1017.69,142.0001,,,,,,,,
,,,9/26/2005,#N/A N/A,116.05,1018.33,142.2331,,,,,,,,
,,,9/27/2005,#N/A N/A,115.84,1017.46,142.1475,,,,,,,,
,,,9/28/2005,#N/A N/A,116.27,1020.63,142.8701,,,,,,,,
,,,9/29/2005,#N/A N/A,117.37,1026.44,143.2092,,,,,,,,
,,,9/30/2005,#N/A N/A,117.21,1025.52,142.8558,,,,,,,,
,,,10/3/2005,#N/A N/A,117.07,1022.2,142.7281,,,,,,,,
,,,10/4/2005,#N/A N/A,116.27,1017,142.4427,,,,,,,,
,,,10/5/2005,#N/A N/A,115.3,1010.1,141.9382,,,,,,,,
,,,10/6/2005,100,114.62,1006.48,141.1412,,,,,,,,
,,,10/7/2005,100.52,114.98,1009.13,141.4904,,,,,,,,
,,,10/10/2005,100.4,114.5,1005.42,141.4904,,,,,,,,
,,,10/11/2005,100.45,114.5,1004.31,141.6424,,,,,,,,
,,,10/12/2005,99.53,113.71,997.98,141.0441,,,,,,,,
,,,10/13/2005,99.25,113.64,997.85,140.4771,,,,,,,,
,,,10/14/2005,99.52,114.24,1001.14,140.8131,,,,,,,,
,,,10/17/2005,99.55,114.25,1002.21,141.4779,,,,,,,,
,,,10/18/2005,98.84,113.57,997.89,141.2155,,,,,,,,
,,,10/19/2005,99.49,114.53,1004.26,141.2376,,,,,,,,
,,,10/20/2005,98.47,113.56,996.5,140.8413,,,,,,,,
,,,10/21/2005,99.11,114.06,1000.22,140.9346,,,,,,,,
,,,10/24/2005,99.85,114.77,1004.61,141.1058,,,,,,,,
,,,10/25/2005,99.57,114.67,1003.19,141.2896,,,,,,,,
,,,10/26/2005,99.69,114.38,1000.78,141.136,,,,,,,,
,,,10/27/2005,99.3,113.82,996.85,140.93,,,,,,,,
,,,10/28/2005,99.82,114.5,1000.98,141.0461,,,,,,,,
,,,10/31/2005,99.84,114.83,1002.52,141.0733,,,,,,,,
,,,11/1/2005,99.99,114.83,1001.85,140.9245,,,,,,,,
,,,11/2/2005,100.7,115.56,1005.46,141.1117,,,,,,,,
,,,11/3/2005,100.9,115.99,1007.12,141.4031,,,,,,,,
,,,11/4/2005,100.71,115.89,1005.97,141.1671,,,,,,,,
,,,11/7/2005,100.64,115.85,1007.18,141.4268,,,,,,,,
,,,11/8/2005,100.14,115.68,1008.46,141.6902,,,,,,,,
,,,11/9/2005,100.62,115.69,1008.19,141.435,,,,,,,,
,,,11/10/2005,100.37,116.07,1012.63,141.8899,,,,,,,,
,,,11/11/2005,100.55,116.37,1014.74,142.23,,,,,,,,
,,,11/14/2005,100.45,116.1,1012.64,142.127,,,,,,,,
,,,11/15/2005,99.97,115.63,1011.72,142.3968,,,,,,,,
,,,11/16/2005,100.24,116.01,1015.85,143.0849,,,,,,,,
,,,11/17/2005,100.93,117.05,1022.91,143.6757,,,,,,,,
,,,11/18/2005,101.28,117.4,1023.4,143.4808,,,,,,,,
,,,11/21/2005,101.47,117.86,1026.31,144.0997,,,,,,,,
,,,11/22/2005,101.9,118.67,1028.96,144.2982,,,,,,,,
,,,11/23/2005,102.04,118.81,1029.95,144.4504,,,,,,,,
,,,11/24/2005,102.04,118.81,1029.95,144.4504,,,,,,,,
,,,11/25/2005,101.74,118.78,1031.7,144.9976,,,,,,,,
,,,11/28/2005,101.27,118.06,1029.59,144.9243,,,,,,,,
,,,11/29/2005,101.3,117.94,1027.58,144.4354,,,,,,,,
,,,11/30/2005,101.27,117.48,1023.77,144.3727,,,,,,,,
,,,12/1/2005,102.12,118.77,1030.75,145.3644,,,,,,,,
,,,12/2/2005,102.23,118.9,1031.01,145.6924,,,,,,,,
,,,12/5/2005,102.3,118.68,1029.2,145.4204,,,,,,,,
,,,12/6/2005,102.28,118.81,1030.08,145.7032,,,,,,,,
,,,12/7/2005,102.11,118.47,1029.17,145.6119,,,,,,,,
,,,12/8/2005,101.88,118.38,1029.94,146.1804,,,,,,,,
,,,12/9/2005,102.38,118.75,1031.35,146.1718,,,,,,,,
,,,12/12/2005,102.68,119.12,1032.26,146.2934,,,,,,,,
,,,12/13/2005,102.94,119.46,1032.83,146.4651,,,,,,,,
,,,12/14/2005,102.59,119.48,1032.98,146.1507,,,,,,,,
,,,12/15/2005,102.44,119.15,1031.03,145.9243,,,,,,,,
,,,12/16/2005,102.34,119.25,1031.75,145.9295,,,,,,,,
,,,12/19/2005,102.03,118.53,1027.57,145.8785,,,,,,,,
,,,12/20/2005,102.22,118.57,1026.42,145.8432,,,,,,,,
,,,12/21/2005,102.64,119.05,1028.91,146.0148,,,,,,,,
,,,12/22/2005,102.8,119.47,1032.33,145.9865,,,,,,,,
,,,12/23/2005,102.76,119.47,1034.47,145.962,,,,,,,,
,,,12/26/2005,102.76,119.47,1034.47,145.962,,,,,,,,
,,,12/27/2005,102.49,118.67,1031.51,145.7343,,,,,,,,
,,,12/28/2005,102.83,118.92,1033.07,145.9404,,,,,,,,
,,,12/29/2005,102.76,118.61,1031.11,145.8776,,,,,,,,
,,,12/30/2005,102.61,118.34,1028.77,145.7666,,,,,,,,
,,,1/2/2006,102.61,118.34,1028.77,145.7666,,,,,,,,
,,,1/3/2006,103.92,120.35,1041.69,146.1206,,,,,,,,
,,,1/4/2006,104.19,120.98,1045.97,146.3276,,,,,,,,
,,,1/5/2006,104.24,120.94,1045.23,146.1085,,,,,,,,
,,,1/6/2006,104.76,121.82,1050.45,146.4687,,,,,,,,
,,,1/9/2006,104.91,122.12,1052.51,146.5408,,,,,,,,
,,,1/10/2006,104.52,122.06,1050.39,146.4331,,,,,,,,
,,,1/11/2006,104.75,122.31,1052.06,146.521,,,,,,,,
,,,1/12/2006,104.71,121.95,1050.49,146.417,,,,,,,,
,,,1/13/2006,105.14,121.98,1053.03,146.4098,,,,,,,,
,,,1/16/2006,105.14,121.98,1053.03,146.4098,,,,,,,,
,,,1/17/2006,104.91,121.75,1050.05,146.3381,,,,,,,,
,,,1/18/2006,104.35,121.52,1046.91,145.9686,,,,,,,,
,,,1/19/2006,104.99,122.46,1053.4,146.2829,,,,,,,,
,,,1/20/2006,104.46,121.63,1047.71,145.9403,,,,,,,,
,,,1/23/2006,105.03,122.12,1051.2,145.9008,,,,,,,,
,,,1/24/2006,105.16,122.59,1053.05,145.9578,,,,,,,,
,,,1/25/2006,105.01,122.4,1052.58,146.1094,,,,,,,,
,,,1/26/2006,105.05,122.81,1054.55,146.3014,,,,,,,,
,,,1/27/2006,105.29,123.34,1056.25,146.7461,,,,,,,,
,,,1/30/2006,105.44,123.29,1056.23,146.965,,,,,,,,
,,,1/31/2006,105.42,123.24,1055.66,146.9445,,,,,,,,
,,,2/1/2006,105.4,123.5,1056.99,146.9372,,,,,,,,
,,,2/2/2006,105.12,123.08,1053.84,146.6346,,,,,,,,
,,,2/3/2006,104.94,122.82,1051.91,146.5909,,,,,,,,
,,,2/6/2006,104.91,123.22,1054.79,146.5571,,,,,,,,
,,,2/7/2006,104.31,122.32,1046,146.0949,,,,,,,,
,,,2/8/2006,104.47,122.48,1047.06,146.0623,,,,,,,,
,,,2/9/2006,104.66,122.65,1048.65,146.2709,,,,,,,,
,,,2/10/2006,104.39,122.66,1046.32,145.8682,,,,,,,,
,,,2/13/2006,103.95,122.25,1043.18,145.6625,,,,,,,,
,,,2/14/2006,104.28,122.81,1046.54,145.8507,,,,,,,,
,,,2/15/2006,104.15,123.09,1047.7,145.5896,,,,,,,,
,,,2/16/2006,104.74,123.75,1051.4,145.8406,,,,,,,,
,,,2/17/2006,104.86,123.9,1053.15,145.8763,,,,,,,,
,,,2/20/2006,104.86,123.9,1053.15,145.8763,,,,,,,,
,,,2/21/2006,104.73,123.76,1051.92,146.1916,,,,,,,,
,,,2/22/2006,104.95,124.39,1054.99,146.1672,,,,,,,,
,,,2/23/2006,104.77,124.29,1053.4,146.0933,,,,,,,,
,,,2/24/2006,104.99,124.46,1054.48,146.3112,,,,,,,,
,,,2/27/2006,105,124.58,1054.26,146.0724,,,,,,,,
,,,2/28/2006,104.49,123.78,1052.24,146.0119,,,,,,,,
,,,3/1/2006,105.07,124.8,1054.4,146.1703,,,,,,,,
,,,3/2/2006,104.98,124.53,1052.1,146.2929,,,,,,,,
,,,3/3/2006,104.64,124.04,1049.15,146.2067,,,,,,,,
,,,3/6/2006,104.12,123.98,1048.9,145.5694,,,,,,,,
,,,3/7/2006,103.51,122.82,1044.13,145.168,,,,,,,,
,,,3/8/2006,103.38,122.93,1044.68,144.7586,,,,,,,,
,,,3/9/2006,103.31,122.94,1044.59,145.015,,,,,,,,
,,,3/10/2006,103.85,123.92,1047.7,145.3108,,,,,,,,
,,,3/13/2006,104.03,123.98,1047.31,145.9594,,,,,,,,
,,,3/14/2006,104.05,124.81,1051.94,146.8013,,,,,,,,
,,,3/15/2006,104.17,125.63,1055.86,146.8253,,,,,,,,
,,,3/16/2006,103.55,125.96,1060.25,147.1767,,,,,,,,
,,,3/17/2006,103.69,126.33,1061.4,147.2072,,,,,,,,
,,,3/20/2006,103.97,125.86,1058.82,147.0463,,,,,,,,
,,,3/21/2006,103.97,124.85,1053.14,146.8667,,,,,,,,
,,,3/22/2006,104.37,125.41,1055.75,147.0434,,,,,,,,
,,,3/23/2006,104.18,125.59,1056.6,147.4066,,,,,,,,
,,,3/24/2006,104.34,126.07,1060.37,147.7062,,,,,,,,
,,,3/27/2006,104.53,125.94,1059.19,147.6306,,,,,,,,
,,,3/28/2006,104.31,125.94,1057.51,147.3306,,,,,,,,
,,,3/29/2006,105.01,127.49,1062.57,147.6923,,,,,,,,
,,,3/30/2006,105.5,127.47,1061.58,148.2861,,,,,,,,
,,,3/31/2006,105.25,127.34,1060.86,147.739,,,,,,,,
,,,4/3/2006,105.97,126.97,1057.54,148.2593,,,,,,,,
,,,4/4/2006,105.93,127.1,1058.59,148.0882,,,,,,,,
,,,4/5/2006,105.97,127.62,1061.05,148.5715,,,,,,,,
,,,4/6/2006,106.09,127.57,1060.39,148.9082,,,,,,,,
,,,4/7/2006,106.03,126.5,1053.41,148.1088,,,,,,,,
,,,4/10/2006,106.11,126.61,1053.01,148.8567,,,,,,,,
,,,4/11/2006,105.87,126.04,1050,148.6846,,,,,,,,
,,,4/12/2006,106.06,126.1,1050.72,148.7253,,,,,,,,
,,,4/13/2006,106.24,126.04,1049.6,148.9435,,,,,,,,
,,,4/14/2006,106.24,126.04,1049.6,148.9435,,,,,,,,
,,,4/17/2006,106.25,126.46,1052.24,149.5678,,,,,,,,
,,,4/18/2006,106.61,127.9,1061.08,150.8463,,,,,,,,
,,,4/19/2006,106.89,128.57,1066.5,151.5812,,,,,,,,
,,,4/20/2006,106.85,128.03,1059.6,150.9899,,,,,,,,
,,,4/21/2006,106.86,128.68,1065.41,151.427,,,,,,,,
,,,4/24/2006,106.63,128.26,1062.23,150.9821,,,,,,,,
,,,4/25/2006,106.78,127.96,1062.11,151.1787,,,,,,,,
,,,4/26/2006,107.07,128.07,1063.9,151.2314,,,,,,,,
,,,4/27/2006,106.93,127.72,1063.56,150.9125,,,,,,,,
,,,4/28/2006,106.88,127.96,1069.24,151.077,,,,,,,,
,,,5/1/2006,107.03,127.91,1067.45,151.1907,,,,,,,,
,,,5/2/2006,107.21,128.65,1072.11,151.4489,,,,,,,,
,,,5/3/2006,107.3,128.32,1071.03,151.1766,,,,,,,,
,,,5/4/2006,107.48,128.82,1073.41,151.4557,,,,,,,,
,,,5/5/2006,107.6,129.41,1077.05,151.7215,,,,,,,,
,,,5/8/2006,107.66,129.42,1075.79,151.6641,,,,,,,,
,,,5/9/2006,107.69,129.82,1080.86,151.9688,,,,,,,,
,,,5/10/2006,107.52,129.97,1082.55,152.1403,,,,,,,,
,,,5/11/2006,107.24,129.35,1080.79,152.2457,,,,,,,,
,,,5/12/2006,107.07,128.62,1076.81,151.6307,,,,,,,,
,,,5/15/2006,106.74,128.28,1069.89,151.008,,,,,,,,
,,,5/16/2006,106.53,128.56,1073.55,151.0839,,,,,,,,
,,,5/17/2006,106.15,127.81,1067.12,150.4352,,,,,,,,
,,,5/18/2006,105.64,128.4,1068.19,150.3116,,,,,,,,
,,,5/19/2006,105.8,128.64,1067.97,150.1304,,,,,,,,
,,,5/22/2006,105.21,128.6,1066,150.0075,,,,,,,,
,,,5/23/2006,105.15,128.34,1065.28,150.3847,,,,,,,,
,,,5/24/2006,105.04,128.48,1064.17,150.0259,,,,,,,,
,,,5/25/2006,105.64,128.65,1066.77,150.3264,,,,,,,,
,,,5/26/2006,105.62,128.74,1068.77,150.6259,,,,,,,,
,,,5/29/2006,105.62,128.74,1068.77,150.6259,,,,,,,,
,,,5/30/2006,105.17,128.17,1063.37,150.2232,,,,,,,,
,,,5/31/2006,105.49,128.05,1062.74,150.2427,,,,,,,,
,,,6/1/2006,105.78,128.28,1066.5,150.1582,,,,,,,,
,,,6/2/2006,105.46,129.8,1072.1,150.3918,,,,,,,,
,,,6/5/2006,104.96,129.69,1067.83,150.2286,,,,,,,,
,,,6/6/2006,104.83,129.45,1067.57,149.9581,,,,,,,,
,,,6/7/2006,104.61,129.22,1065.6,149.9129,,,,,,,,
,,,6/8/2006,104.26,129.45,1066.01,149.6481,,,,,,,,
,,,6/9/2006,104.11,129.7,1067.36,149.6928,,,,,,,,
,,,6/12/2006,103.7,129.04,1062.85,149.6062,,,,,,,,
,,,6/13/2006,103.39,128.79,1059.47,149.2211,,,,,,,,
,,,6/14/2006,104.1,128.39,1056.99,149.2012,,,,,,,,
,,,6/15/2006,104.94,128.77,1061.24,149.3205,,,,,,,,
,,,6/16/2006,104.85,128.59,1059.84,149.377,,,,,,,,
,,,6/19/2006,104.59,127.88,1056.4,149.1265,,,,,,,,
,,,6/20/2006,104.74,127.62,1055.31,149.0549,,,,,,,,
,,,6/21/2006,105.17,128.09,1057.8,149.1552,,,,,,,,
,,,6/22/2006,105.02,127.63,1054.19,148.9991,,,,,,,,
,,,6/23/2006,105.05,127.43,1052.35,148.9349,,,,,,,,
,,,6/26/2006,105.2,127.7,1053.34,148.9946,,,,,,,,
,,,6/27/2006,105.02,127.42,1051.39,148.8497,,,,,,,,
,,,6/28/2006,105.33,127.65,1052.18,148.8214,,,,,,,,
,,,6/29/2006,105.73,129.06,1061.29,149.4727,,,,,,,,
,,,6/30/2006,106.11,129.8,1066.51,150.1873,,,,,,,,
,,,7/3/2006,106.42,130.43,1069.51,150.0207,,,,,,,,
,,,7/4/2006,106.42,130.43,1069.51,150.0207,,,,,,,,
,,,7/5/2006,106.3,129.7,1065.42,149.9375,,,,,,,,
,,,7/6/2006,106.56,130.26,1068.5,150.165,,,,,,,,
,,,7/7/2006,106.49,130.45,1068.88,150.1088,,,,,,,,
,,,7/10/2006,106.53,130.78,1070.71,150.0898,,,,,,,,
,,,7/11/2006,106.79,131.16,1072.03,150.2269,,,,,,,,
,,,7/12/2006,106.84,131.05,1071.84,150.1972,,,,,,,,
,,,7/13/2006,106.3,130.56,1068.74,150.0251,,,,,,,,
,,,7/14/2006,105.76,130.21,1066.29,150.0057,,,,,,,,
,,,7/17/2006,105.89,129.98,1065.23,149.6935,,,,,,,,
,,,7/18/2006,106.07,129.81,1064.74,149.4314,,,,,,,,
,,,7/19/2006,106.43,130.99,1072.62,149.797,,,,,,,,
,,,7/20/2006,105.79,130.91,1071.63,149.6546,,,,,,,,
,,,7/21/2006,105.8,130.47,1067.56,149.4438,,,,,,,,
,,,7/24/2006,106.33,131.08,1071.76,149.7834,,,,,,,,
,,,7/25/2006,106.41,131.28,1072.52,149.8593,,,,,,,,
,,,7/26/2006,106.32,131.62,1074.43,149.9059,,,,,,,,
,,,7/27/2006,106.31,131.49,1072.81,150.0877,,,,,,,,
,,,7/28/2006,106.06,132.27,1078.27,150.2536,,,,,,,,
,,,7/31/2006,105.92,132.08,1076.9,150.4093,,,,,,,,
,,,8/1/2006,105.74,131.89,1075.63,150.3347,,,,,,,,
,,,8/2/2006,106.2,132.31,1076.98,150.5766,,,,,,,,
,,,8/3/2006,106.57,132.75,1079.31,150.3613,,,,,,,,
,,,8/4/2006,106.35,133.26,1084.19,150.5112,,,,,,,,
