3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,3/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/30/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/31/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,4/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/9/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/16/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/23/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/30/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,5/31/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/9/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/16/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/23/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,6/30/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,7/31/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,8/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
